,source_text,target_text
191,paraphrase: Este é um livro muito velho.,Esses livros são velhos.
192,paraphrase: É muito divertido ir viajar.,Viajar é muito divertido.
193,paraphrase: Nós somos velhos amigos.,Somos velhos amigos.
194,paraphrase: A vida é breve.,A vida é curta demais.
195,paraphrase: A vida é muito curta.,A vida é demasiado curta.
196,paraphrase: Conta-me o que aconteceu.,Conte-me o que está acontecendo.
197,"paraphrase: Não se preocupe, já estou aqui.","Estou aqui, então não se preocupe."
198,paraphrase: O meu quadril está doendo.,Estou com dor neste lado.
199,paraphrase: Meu flanco dói.,Estou com dor neste lado.
200,paraphrase: Doem-me as costas.,Dói-me o quadril.
201,paraphrase: Dói-me o dorso.,Dói-me o flanco.
202,paraphrase: Eu apenas cortei minhas unhas.,Acabei de cortar as unhas.
203,paraphrase: Estou com o punho quebrado.,Quebrei o tornozelo.
204,paraphrase: Você quer mesmo que eu dê seu computador ao Tom?,Queres mesmo que eu dê teu computador ao Tom?
205,paraphrase: Levante o braço direito.,Erga a mão direita.
206,paraphrase: Levante a sua mão esquerda.,Levante o braço esquerdo.
207,paraphrase: Me chamam de Bob.,Elas me chamam Bob.
208,paraphrase: Esse laptop é bem fino.,Este portátil é muito fino.
209,paraphrase: Tom está com o computador.,Tom está no computador.
210,paraphrase: Posso te chamar de Bob?,Posso chamá-lo de Bob?
211,paraphrase: É o computador no qual ele escreveu seu artigo.,Esse é o computador sobre o qual ele escreve seu artigo.
212,paraphrase: Este é o computador que ele usou para escrever o artigo.,Esse é o computador no qual ele escreve seus artigos.
213,paraphrase: Meu filho acredita em Papai Noel.,O meu filho ainda acredita em Papai Noel.
214,paraphrase: Você quer brincar comigo?,Vamos brincar juntos?
215,paraphrase: Você gostaria de brincar comigo?,Vamos brincar juntos?
216,paraphrase: Vamos tocar juntos?,Vamos jogar juntos?
217,paraphrase: Você vai com Tom?,Você irá com o Tom?
218,paraphrase: Você irá com Tom?,Você irá com o Tom?
219,"paraphrase: Se eu soubesse usar um computador, talvez me pagassem mais.",Eles me pagariam mais se eu conseguisse usar o computador.
220,paraphrase: Cada vez mais pessoas têm computadores em suas casas.,Cada vez mais gente tem computador em casa.
221,paraphrase: Conheço esse menino.,Eu conheço aquele cara.
222,paraphrase: Eu conheço esse cara.,Eu conheço aquele cara.
223,paraphrase: O garoto está correndo.,Aquele menino está correndo.
224,paraphrase: O menino ficou em silêncio.,O menino se calou.
225,paraphrase: O menino ficou quieto.,O menino se calou.
226,paraphrase: O menino ficou calado.,O menino calou-se.
227,paraphrase: O rapaz estava em silêncio.,O rapaz permaneceu em silêncio.
228,paraphrase: O rapaz é gentil.,O menino é gentil.
229,paraphrase: O garoto é gentil.,O menino é gentil.
230,paraphrase: O menino chegou correndo.,O menino veio correndo.
231,paraphrase: Eu falo inglês.,Eu posso falar chinês.
232,paraphrase: Eu sei falar inglês.,Eu sei falar chinês.
233,paraphrase: Tom trabalha em um banco.,O Tom está trabalhando em um banco.
234,paraphrase: Ele fala realmente bem.,Ele é bom de conversa.
235,paraphrase: Ele fala bem.,Ele se expressa bem.
236,paraphrase: Ele fala bonito.,Ele fala bem mesmo.
237,paraphrase: Ele é um bom falante.,Ele se exprime bem.
238,paraphrase: Você fala demais.,Ela é tagarela.
239,paraphrase: Tu falas demais.,Ela fala demais/demasiado.
240,paraphrase: Vocês falam demais.,Ele fala demais.
241,paraphrase: Você tagarela demais.,Ele conversa muito.
242,paraphrase: Ela fala muito.,Ela tagarela.
243,paraphrase: Ele tem uma bocarra.,Ela faloca.
244,paraphrase: Mariko tem um excelente inglês.,Mário fala inglês fluentemente.
245,paraphrase: Mariko fala inglês muito bem.,Mariko fala inglês perfeitamente.
246,paraphrase: Eu conheço o piano.,Eu sei tocar piano.
247,paraphrase: Ele fala russo perfeitamente bem.,Fala russo perfeitamente.
248,paraphrase: Eu gosto de tartarugas.,Eu amo tartarugas.
249,paraphrase: Tartarugas põem ovos.,As tartarugas põem ovos.
250,paraphrase: O menino fugiu.,O garoto fugiu.
251,paraphrase: O bebê começou a chorar.,O menino se pôs a chorar.
252,paraphrase: Muitos serviços dependem do computador para serem realizados.,Muitos trabalhos são feitos por computadores.
253,paraphrase: Dormir faz bem.,O sono é necessário.
254,paraphrase: Vou à igreja.,Eu vou à igreja.
255,paraphrase: Meu professor geralmente passa muito trabalho para casa.,Minha professora gosta de passar muita tarefa para casa.
256,paraphrase: Minha bicicleta foi consertada ontem.,Eu consertei a bicicleta ontem.
257,paraphrase: Meu pai vai à empresa de bicicleta.,Meu pai vai trabalhar de bicicleta.
258,paraphrase: Você tem três dicionários.,Tu tens três dicionários.
259,paraphrase: Posso ir para casa?,Posso ir pra casa?
260,paraphrase: Posso ir para a minha casa?,Posso ir pra casa?
261,paraphrase: Ela é magra como um palito.,Ela é magrinha como um palito.
262,paraphrase: Eles têm a mesma idade.,São contemporâneos.
263,paraphrase: Elas são da mesma idade.,São contemporâneos.
264,paraphrase: Volte para o lugar que você veio.,Volte para o lugar de onde você veio.
265,paraphrase: Não ficamos em casa ontem.,"Ontem, não estávamos em casa."
266,paraphrase: Você esqueceu alguma coisa?,Você está com tudo?
267,paraphrase: Você não está esquecendo de algo?,Você está com tudo?
268,paraphrase: Estou esquecendo alguma coisa?,Não esqueceu de nada?
269,paraphrase: Você tem tudo?,Não te esqueceste de nada?
270,paraphrase: Tem certeza de que não esqueceu nada?,Você não se esqueceu de nada?
271,paraphrase: Nós sabemos que o sol é maior que a terra.,Sabemos que o Sol é maior do que a Terra.
272,paraphrase: Eu ajudei ele ontem.,Ontem os ajudei.
273,paraphrase: Eu o ajudei ontem.,Ontem os ajudei.
274,paraphrase: Eu comprei um livro ontem.,Ontem eu comprei um livro.
275,paraphrase: Ele morreu ontem.,Ela morreu ontem.
276,paraphrase: Ele faleceu ontem.,Ela morreu ontem.
277,paraphrase: Ele bateu as botas ontem.,Ela faleceu ontem.
278,paraphrase: O calcanhar é a junção do braço e do antebraço.,O cotovelo é a junção entre o braço e o antebraço.
279,paraphrase: Eu já li estes dois livros.,Li os dois livros.
280,paraphrase: Tu tens o meu livro?,Estás com meu livro?
281,paraphrase: Eu lembro bem a minha infância.,Eu me lembro muito bem da minha infância.
282,paraphrase: Conheço-a bem.,Sei disso muito bem.
283,paraphrase: Eu sei muito bem disso.,Eu conheço muito bem o senhor.
284,paraphrase: Eu sei disso de cor.,Eu o conheço muito bem.
285,paraphrase: Eu a conheço bem.,Conheço-o muito bem.
286,paraphrase: Eles sorriram um ao outro.,Trocaram um sorriso.
287,paraphrase: Eles sorriram mutuamente.,Eles sorriram um para o outro.
288,paraphrase: Tem um cachorrinho marrom debaixo da mesa.,Há um pequeno cachorro marrom debaixo dessa mesma.
289,paraphrase: Há um pequeno cão marrom debaixo da mesa.,Há um pequeno cachorro marrom debaixo dessa mesma.
290,paraphrase: Esta noite podemos ver muitas estrelas.,Podem-se ver muitas estrelas esta noite.
291,paraphrase: Ele esqueceu o guarda-chuva no ônibus.,Ela deixou o guarda-chuvas dela no ônibus.
292,paraphrase: Ele deixou seu guarda-chuva no ônibus.,Ela deixou o guarda-chuvas dela no ônibus.
293,paraphrase: Tom ama seu cachorro.,Tom ama seu cão.
294,paraphrase: Tom é fácil de influenciar.,Tom é facilmente influenciado.
295,paraphrase: Me dê a chave desse castelo!,Me dê a chave dessa fechadura!
296,paraphrase: Ela tem algo em sua mão.,Ela tem algo na mão dela.
297,paraphrase: A formiga era vermelha.,A formiga estava vermelha.
298,paraphrase: Não dói a pancada na cabeça alheia.,Os elefantes acham graça do infortúnio das formigas.
299,paraphrase: Pimenta nos olhos dos outros é refresco.,Os elefantes acham graça do infortúnio das formigas.
300,paraphrase: Tu sabes jogar tênis?,Vocês jogam tênis?
301,paraphrase: Você joga tênis?,O senhor sabe jogar tênis?
302,paraphrase: O senhor joga tênis?,A senhora joga tênis?
303,paraphrase: Vamos jogar futebol.,Nós jogamos futebol.
304,paraphrase: Joguemos futebol.,Nós jogamos futebol.
305,paraphrase: A sorte está lançada.,O concerto acabou.
306,paraphrase: Fim de jogo.,O dado está lançado.
307,"paraphrase: Se fizer sua cama, tem de se deitar nela.",Os dados estão lançados.
308,paraphrase: O show acabou.,O show terminou.
309,paraphrase: Ela matou um hamster pensando ser um rato.,Ela matou um hamster achando que era um rato.
310,paraphrase: Diz-se que provoca o cancro.,Diz-se que é carcinogénico.
311,paraphrase: As meninas falaram de Astronomia.,As meninas conversaram sobre Astronomia.
312,paraphrase: Ele é um experto em astronomia.,Ele é especialista em astronomia.
313,paraphrase: Ele é um especialista em astronomia.,Ele é especialista em astronomia.
314,paraphrase: Nunca brinque aqui.,Nunca jogue aqui.
315,paraphrase: Você joga futebol?,A senhora joga futebol?
316,paraphrase: Vocês jogam futebol?,O senhor joga futebol?
317,paraphrase: Eu prefiro vinho tinto.,Prefiro vinho tinto.
318,paraphrase: Eu toco Chopin.,Estou tocando Chopin.
319,paraphrase: Como Tom fez aquilo?,Como o Tom fará isso?
320,paraphrase: Como Tom fez isso?,Eu me pergunto como o Tom faz isso.
321,paraphrase: Como Tom fez isto?,Como o Tom vai fazer isso?
322,paraphrase: Por que Tom está fazendo isso?,Por que o Tom faz isso?
323,paraphrase: Tom queria vingança.,Tom quer vingança.
324,paraphrase: Tom faz tudo para chamar atenção.,Tom quer atenção.
325,paraphrase: O tabagismo tem um estreito relacionamento com o câncer.,Fumar tem muito a ver com o câncer.
326,paraphrase: A maçã está doce.,Esta maçã é doce.
327,paraphrase: Esta maçã está muito azeda.,Esta maçã é ácida.
328,paraphrase: Esta maçã está azeda.,Essa maçã é azeda.
329,paraphrase: Quem roubou a maçã?,Quem roubou as maçãs?
330,paraphrase: Baleias são mamíferos.,A baleia é um mamífero.
331,paraphrase: Tens medo da morte?,Teme a morte?
332,paraphrase: Você não tem medo de morrer?,Teme a morte?
333,paraphrase: Essa é uma maçã também.,Aqui também trata-se de uma maçã.
334,paraphrase: Não gosto desse tipo de música.,Não sou muito chegado a esse tipo de música.
335,paraphrase: Eu não gosto muito deste tipo de música.,Não sou muito chegado a esse tipo de música.
336,paraphrase: Eu sei descascar uma maçã.,Eu sei pelar uma maçã.
337,paraphrase: Detesto pessoas hipócritas.,Detesto hipócritas.
338,paraphrase: Posso comer esta laranja?,Posso pegar essa laranja?
339,paraphrase: Posso chupar esta laranja?,Posso pegar essa laranja?
340,paraphrase: Quase não posso caminhar.,Mal consigo andar.
341,paraphrase: Eu mal consigo andar.,Mal consigo andar.
342,paraphrase: Eu sempre caminho.,Eu normalmente vou andando.
343,paraphrase: Eu normalmente vou a pé.,Eu normalmente vou andando.
344,paraphrase: Que tal fazermos uma caminhada?,Você gostaria de passear?
345,paraphrase: O que você acha de dar um passeio?,Que tal uma caminhada?
346,paraphrase: Gostaria de dar um passeio?,Gostaria de dar uma volta?
347,paraphrase: Tom quer um.,Tom quer uma.
348,paraphrase: Eu sempre caminho para a escola.,Eu sempre vou à escola andando.
349,paraphrase: Esta é a minha música!,Esta é minha canção.
350,paraphrase: Tom quer falar.,O Tom gosta de conversar.
351,paraphrase: Qual a sua altura e peso?,Você poderia por favor me dizer sua altura e peso?
352,paraphrase: Qual é a sua altura e quanto você pesa?,Você poderia por favor me dizer sua altura e peso?
353,paraphrase: Este é o seu carro?,Aquele carro é o seu?
354,paraphrase: Este é seu carro?,Aquele carro é o seu?
355,paraphrase: Este carro é seu?,Este carro é teu?
356,paraphrase: Aquele carro é dele.,Este carro é dela.
357,paraphrase: Aquele é o carro dele.,Este carro pertence a ela.
358,paraphrase: Este carro é seu.,Aquele é seu carro.
359,paraphrase: Deus abençoe Tatoeba!,Que Deus abençoe o Tatoeba!
360,paraphrase: Tom queria ganhar.,Tom queria vencer.
361,paraphrase: Siga aquele carro.,Siga o carro!
362,paraphrase: O portão da casa estava aberto.,A porta da frente estava aberta.
363,paraphrase: A porta dianteira estava aberta.,A porta da frente estava aberta.
364,paraphrase: Tom estava com vontade de dançar.,Tom queria dançar.
365,paraphrase: O Tom queria ver-te.,O Tom queria te ver.
366,paraphrase: A Austrália é o menor continente do mundo.,O menor continente é a Austrália.
367,paraphrase: Tom queria que todos saíssem.,Tom queria que todo mundo saísse.
368,paraphrase: Vi-o pular.,Eu o vi pular.
369,paraphrase: Vi-a pular.,Eu o vi pular.
370,paraphrase: Vi-o saltar.,Vi-a saltar.
371,paraphrase: Posso voar.,Eu posso voar.
372,paraphrase: Sei voar.,Eu sei voar.
373,paraphrase: Eu posso pular.,Eu posso saltar.
374,paraphrase: Tom queria falar com Mary.,Tom queria conversar com Mary.
375,paraphrase: Tom queria falar com você.,Tom queria falar contigo.
376,paraphrase: É isso que queria Tom?,É isso o que o Tom quer?
377,paraphrase: É isso que Tom quer?,É isso o que o Tom quer?
378,paraphrase: Olha como pula o menino.,Olha como salta o menino.
379,paraphrase: Tom gostaria de vir conosco.,Tom quer ir com a gente.
380,paraphrase: Tom gostaria de vir com a gente.,Tom quer ir com a gente.
381,paraphrase: Tom quer vir conosco.,Tom quer ir conosco.
382,paraphrase: O Tom pediu ajuda à Mary.,Tom pediu ajuda a Mary.
383,paraphrase: Tom pediu para Maria ajudar.,Tom pediu ajuda a Mary.
384,paraphrase: Tom queria ser médico.,O Tom queria se tornar um médico.
385,paraphrase: A toxicomania é um câncer na sociedade moderna.,As drogas são um câncer da sociedade moderna.
386,paraphrase: Os cientistas ainda não descobriram uma cura para o cancro.,Os cientistas ainda não descobriram um método para curar o câncer.
387,paraphrase: Faz muito calor.,É muito quente.
388,paraphrase: Está quente demais.,Está muito quente.
389,paraphrase: Este gato é branco.,Esta gata é branca.
390,paraphrase: Kate está com um resfriado.,Kate está resfriada.
391,paraphrase: Os olhos dele são azuis.,Os olhos dela são azuis.
392,paraphrase: Seus olhos são azuis.,Ela tem olhos azuis.
393,paraphrase: A Alemanha é bonita.,A Alemanha é bela.
394,paraphrase: Não sou sua esposa.,Não sou tua mulher.
395,paraphrase: Nós transformamos leite em queijo e manteiga.,A manteiga e o queijo são produzidos a partir do leite.
396,paraphrase: Tom queria surpreender Maria.,Tom queria surpreender a Mary.
397,paraphrase: Tom queria comprá-lo.,Tom queria comprá-la.
398,paraphrase: Voltarei em uma hora.,Eu estarei de volta em uma hora.
399,paraphrase: Que cachorro enorme!,Que cachorro grandão!
400,paraphrase: Que cachorro grande aquele!,Que cachorro grandão!
401,paraphrase: Não alimente o cão.,Visitantes não podem alimentar os animais.
402,"paraphrase: Por favor, não alimente os animais.",Visitantes não podem alimentar os animais.
403,paraphrase: Não alimente os animais.,Não alimente o cachorro!
